City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
0,Rikitea,PF,light rain,78.82,-23.1203,-134.9692,
7,Busselton,AU,overcast clouds,80.28,-33.65,115.3333,
9,Cayenne,GF,scattered clouds,79.0,4.9333,-52.3333,
14,Bambous Virieux,MU,broken clouds,84.99,-20.3428,57.7575,
17,Kavaratti,IN,scattered clouds,83.68,10.5669,72.642,
19,Alofi,NU,clear sky,80.6,-19.0595,-169.9187,
27,New Norfolk,AU,overcast clouds,77.0,-42.7826,147.0587,
29,Atuona,PF,broken clouds,80.74,-9.8,-139.0333,
31,Honiara,SB,overcast clouds,82.71,-9.4333,159.95,
32,Hobart,AU,overcast clouds,77.0,-42.8794,147.3294,
33,Kontagora,NG,broken clouds,76.1,10.3999,5.4695,
34,Jawhar,SO,overcast clouds,86.65,2.7809,45.5005,
38,Shima,CN,few clouds,84.2,24.4478,117.8111,
39,Goalpara,IN,clear sky,88.93,26.1667,90.6167,
44,Vaini,TO,broken clouds,80.6,-21.2,-175.2,
52,Gola Bazar,IN,clear sky,86.0,26.3431,83.3553,
53,Avarua,CK,few clouds,78.8,-21.2078,-159.775,
54,Ugoofaaru,MV,broken clouds,84.61,5.6667,73.0,
64,Baillif,GP,few clouds,75.2,16.0202,-61.7463,
66,Mahebourg,MU,broken clouds,82.4,-20.4081,57.7,
70,Lakes Entrance,AU,broken clouds,77.0,-37.8811,147.981,
72,Manuk Mangkaw,PH,overcast clouds,83.91,4.8,119.85,
76,Thinadhoo,MV,moderate rain,83.77,0.5333,72.9333,
78,Samarai,PG,broken clouds,85.05,-10.6167,150.6667,
87,Atambua,ID,overcast clouds,76.51,-9.1061,124.8925,
88,Esperance,AU,scattered clouds,80.6,-33.8667,121.9,
96,Codrington,AU,overcast clouds,75.78,-38.2667,141.9667,
100,Ndele,CF,scattered clouds,80.33,8.4109,20.6473,
107,Isangel,VU,overcast clouds,80.6,-19.55,169.2667,
109,Oistins,BB,scattered clouds,77.0,13.0667,-59.5333,
110,Mount Gambier,AU,broken clouds,86.0,-37.8333,140.7667,
121,Pasni,PK,clear sky,88.75,25.2631,63.471000000000004,
135,Howard Springs,AU,overcast clouds,84.2,-12.497,131.047,
136,Marsh Harbour,BS,broken clouds,75.25,26.5412,-77.0636,
137,Afareaitu,PF,scattered clouds,82.4,-17.55,-149.7833,
143,Monrovia,LR,mist,75.2,6.3005,-10.7969,
146,Mersing,MY,scattered clouds,89.6,2.4312,103.8405,
148,Srandakan,ID,broken clouds,84.07,-7.9386,110.2506,
149,Yangjiang,CN,few clouds,88.0,21.85,111.9667,
156,Marzuq,YE,scattered clouds,80.46,14.4,46.4667,
157,Acapulco,MX,scattered clouds,79.39,16.8634,-99.8901,
159,Beloha,MG,clear sky,76.98,-25.1667,45.05,
160,Saint-Philippe,RE,light rain,78.8,-21.3585,55.7679,
165,Nageshwari,BD,clear sky,86.94,25.9377,89.7148,
172,Progreso,MX,few clouds,79.0,21.2833,-89.6667,
175,Wad Madani,SD,scattered clouds,83.48,14.4012,33.5199,
178,Cabedelo,BR,few clouds,75.2,-6.9811,-34.8339,
182,Qui Nhon,VN,broken clouds,84.06,13.7667,109.2333,
183,Axim,GH,few clouds,78.39,4.8699,-2.2405,
186,Semporna,MY,scattered clouds,87.8,4.4818,118.6112,
192,Hobyo,SO,broken clouds,83.37,5.3505,48.5268,
195,Kloulklubed,PW,overcast clouds,78.8,7.0419,134.2556,
198,Mana,GF,broken clouds,75.45,5.6592,-53.7767,
201,Hambantota,LK,few clouds,89.6,6.1241,81.1185,
202,Pemba,MZ,scattered clouds,78.8,-12.974,40.5178,
207,Namatanai,PG,scattered clouds,84.27,-3.6667,152.4333,
209,Belmonte,BR,few clouds,78.8,-15.8631,-38.8828,
214,Itarema,BR,overcast clouds,76.59,-2.9248,-39.9167,
221,Dingle,PH,overcast clouds,86.63,10.9995,122.6711,
222,Victoria,HK,scattered clouds,84.2,22.2855,114.1577,
229,Port Blair,IN,light rain,77.05,11.6667,92.75,
