City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mehamn,71.0357,27.8492,33.8,86,75,8.05,NO,2021-03-30 03:54:03
1,Chok Chai,14.7284,102.1652,104.0,75,0,11.5,TH,2021-03-30 03:54:03
2,Castro,-24.7911,-50.0119,60.46,97,9,3.31,BR,2021-03-30 03:54:03
3,Katsuura,35.1333,140.3,72.0,73,75,3.44,JP,2021-03-30 03:51:12
4,Georgetown,5.4112,100.3354,87.8,83,20,4.61,MY,2021-03-30 03:54:04
5,Khipro,25.8285,69.3772,85.71,48,15,3.91,PK,2021-03-30 03:54:04
6,Anadyr,64.75,177.4833,5.0,85,20,24.61,RU,2021-03-30 03:54:04
7,Lavrentiya,65.5833,-171.0,11.8,86,100,10.04,RU,2021-03-30 03:54:05
8,Vaini,-21.2,-175.2,82.4,83,75,8.05,TO,2021-03-30 03:54:05
9,Mandalgovi,45.7625,106.2708,44.85,30,1,20.87,MN,2021-03-30 03:54:05
10,Ponta Do Sol,32.6667,-17.1,62.6,63,20,4.61,PT,2021-03-30 03:54:05
11,Arraial Do Cabo,-22.9661,-42.0278,77.2,86,10,4.76,BR,2021-03-30 03:54:05
12,East London,-33.0153,27.9116,64.4,94,0,6.91,ZA,2021-03-30 03:54:06
13,Rome,34.257,-85.1647,51.8,62,1,3.2,US,2021-03-30 03:52:40
14,Tiznit,29.5833,-9.5,60.12,40,0,3.11,MA,2021-03-30 03:54:06
15,Kavaratti,10.5669,72.642,83.28,70,100,4.47,IN,2021-03-30 03:54:06
16,Malaia,45.35,24.0333,32.0,86,0,3.44,RO,2021-03-30 03:54:07
17,Hobart,-42.8794,147.3294,70.0,46,20,11.5,AU,2021-03-30 03:54:07
18,Imbituba,-28.24,-48.6703,71.6,94,75,4.61,BR,2021-03-30 03:54:07
19,Hermanus,-34.4187,19.2345,57.99,95,69,6.87,ZA,2021-03-30 03:54:08
20,Aksu,41.1231,80.2644,51.03,47,34,2.48,CN,2021-03-30 03:54:08
21,Namatanai,-3.6667,152.4333,85.01,67,93,7.78,PG,2021-03-30 03:54:08
22,Rikitea,-23.1203,-134.9692,78.76,71,2,16.24,PF,2021-03-30 03:54:08
23,Puerto Ayora,-0.7393,-90.3518,78.01,89,22,5.68,EC,2021-03-30 03:54:09
